ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,24:81:3b:50:c9:e1,x,y
-65,,-50,-36,-78.0,-81.0,-65,-83.0,,-66.0,-66.0,-56.0,-65.0,-83.0,-38.0,,,-63.0,-63.0,,,,-63.0,,,,-59.0,,-78.0,-76.0,-82.0,,,0.26,1.47
-65,,-50,-36,-78.0,-81.0,-65,-83.0,,-66.0,-66.0,-56.0,-65.0,-83.0,-38.0,,,-63.0,-63.0,,,,-63.0,,,,-59.0,,-78.0,-76.0,-82.0,,,0.26,1.47
-65,,-57,-36,-78.0,-81.0,-65,-82.0,-70.0,-64.0,-64.0,-52.0,-62.0,-82.0,,,,-64.0,-64.0,-90.0,,,-64.0,,,-80.0,-56.0,-67.0,,-75.0,,,-78.0,0.26,1.47
-56,-80.0,-52,-42,,-88.0,-56,-77.0,,-61.0,-60.0,-51.0,,-77.0,,,,,,,,-84.0,,,,,-53.0,-73.0,,,,,-84.0,-0.92,1.26
-36,,-64,-60,-74.0,-81.0,-36,-59.0,-52.0,-50.0,-50.0,-40.0,-50.0,-60.0,-60.0,,,-52.0,-52.0,-69.0,-86.0,-69.0,-52.0,-76.0,-76.0,,-39.0,,-74.0,,,,-74.0,3.39,-4.68
-54,,-59,-32,-82.0,-94.0,-54,-79.0,-72.0,,,,,-79.0,-38.0,,,,,-77.0,,,,-89.0,-88.0,,,,,,,,,-0.92,1.26
-65,,-46,-41,,-88.0,-65,-81.0,,,,,,-81.0,-33.0,-82.0,,,,-78.0,-82.0,,,,,,,,,-80.0,,,-77.0,-0.92,1.26
-38,,-52,-59,,-81.0,-38,-59.0,-57.0,-52.0,-52.0,,-52.0,-59.0,-59.0,,,,,-65.0,,-65.0,,-78.0,-77.0,,,-53.0,,,,,-65.0,3.28,-2.78
-65,,-46,-41,,-88.0,-65,-81.0,,,,,,-81.0,-33.0,-82.0,,,,-78.0,-82.0,,,,,,,,,-80.0,,,-77.0,-0.92,1.26
-40,,-52,-62,-69.0,-81.0,-40,-61.0,,-51.0,,-34.0,-52.0,-61.0,-56.0,,,,,,-76.0,,,-78.0,-76.0,,-33.0,-53.0,-69.0,,-65.0,,-69.0,3.28,-2.78
